Question,Correct Answer,Correct Index,Option A,Option B,Option C,Option D
"Johnny Crawford was born in Las Vegas, Nevada.",False,1,False,True,N/A,N/A
What year did the war film The Dirty Dozen hit the big screen?,1967,4,1968,1969,none of these,1967
"This Broadway musical, set in pre-Nazi Austria, relates the exploits of an ex-nun who is sent out to be a governess to seven motherless children.",The Sound of Music,4,My Fair Lady,The Singing Nun,Agnes of God,The Sound of Music
What was U.S. Grant doing at the outbreak of the Civil War?,Working in the family business,2,None of these,Working in the family business,Had a command out West,Going to West Point
"What rapper made a remix of Amy Winehouses hit single Rehab in 2007, adding new verses?",Jay-Z,1,Jay-Z,Chingy,Kanye West,50 Cent
What animals pilot the airplane to Africa in the 2008 animated comedy movie Madagascar: Escape 2 Africa?,Penguins,4,A lemur and an Aye-aye,A hippopotamus and a giraffe,A zebra and a lion,Penguins
"On September 1, 1985, at a depth of 2 miles (3,8 km), south-east of Newfoundland, the wreck of the Titanic was discovered. Jean-Louis Michel was one of the two people who led the expedition. He was the other one.",Dr. Robert Ballard,2,Evan Forde,Dr. Robert Ballard,Jacques-Yves Cousteau,Charles David Keeling
Michael Jackson spoke publicly about his skin condition in an interview with this TV personality?,Oprah Winfrey,1,Oprah Winfrey,Dan Rather,He never spoke publicly about it.,Barbara Walters
They couldve been contenders.  This group has gained a reputation as one of the great lost missing links of 60s rock: massive talent unaccountably caught in a dead-end.  The most successful UK indie record label of the 90s takes its name from this band.,The Creation,2,The Electric Prunes,The Creation,Moby Grape,The Soft Boys
"Clark Wilhelm Griswold, Jr.",Vacation,2,Mr. Mom,Vacation,The Great Outdoors,Ferris Buellers Day Off
Which antagonist of the X-Men is responsible for the death of Wolverine in the comic books?,Magneto,3,Juggarnaut,Sabretooth,Magneto,Lady Deathstrike
"Now for the U.S.A.  Mr. Farber writes  razor sharp guitar riffs, driving beat and snarling vocal makes this 1969 Steppenwolf song the  biker rallying cry .  When I hear this song, I think of the movie  Easy Rider  as Captain America and Billy ride their bikes towards New Orleans and their destiny.   What is the name of the song that  listening to can make anyone feel like an outlaw?",Born to be Wild,4,Evil Ways,Magic Carpet Ride,Born in the USA,Born to be Wild
"Which member of Irish band Boyzone passed away unexpectedly on October 10, 2009 at the age of 33?",Stephen Gately,3,Mikey Graham,Keith Duffy,Stephen Gately,Shane Lynch
"This actor, who starred in the film Marty and on the sitcom McHales Navy, played Duke Engstrom in the movie The Wild Bunch.",Ernest Borgnine,3,William Holt,Ben Ryan,Ernest Borgnine,Kelsey Grammar
In 2000 this actor starred in the gruesome psychological thriller American Psycho.,Christian Bale,1,Christian Bale,Brad Pitt,Tom Berringer,Tom Hanks
The Steve Miller Band had a #1 hit in 1982 with this song.,Abracadabra,3,Swingtown,Take The Money And Run,Abracadabra,The Joker
"In the motion picture From Russia With Love, what S.P.E.C.T.R.E. agent is an expert in chess?",Kronsteen,4,Gobinda,Whitaker,Fekkesh,Kronsteen
Who plays the Comedian in the film adaption of Watchmen?,Jefferey Blake Morgan,2,Ralph Maggio,Jefferey Blake Morgan,Robert Downey Junior,David Dean Walters
What actor starred as Captain Steven Hiller in the 1996 science fiction movie Independence Day?,Will Smith,3,Martin Lawrence,Chris Rock,Will Smith,"Cuba Gooding, Jr."
"Im So Miserable Without You, Its Almost Like Youre Here was written and performed by this artist whose claim to fame is his daughter Miley and another song Achy Breaky Heart. Who is he?",Billy Ray Cyrus,1,Billy Ray Cyrus,Alan Jackson,Kenny Chesney,Blake Shelton
"Johann Sebastian Bach went to the same school, School in Eisenach, as this famous man.",Martin Luther,4,Handel,William of Orange,Erasmus,Martin Luther
Mama Told Me Not to Come was a hit for which of these groups?,Three Dog Night,1,Three Dog Night,Jefferson Airplane,Deep Purple,Creedance Clearwater Revival
What is the name of the huge blue diamond from the 1997 movie Titanic?,Heart of the Ocean,4,Blue Heart,Hope Diamond,Eye of the Hurricane,Heart of the Ocean
Harvard College was founded in what year?,1636,3,1790,1802,1636,1785
This Michael Mann movie was adapted from the Vanity Fair article The Man Who Knew Too Much by Marie Brenner.,The Insider,2,Frailty,The Insider,Eyes Wide Shut,The Hurricane
What color was the tape on the arrow that Leroy caught in The Last Dragon?,blue,1,blue,red,yellow,green
What kind of machine does Kip hook Napoleon up to in the comedy hit movie Napoleon Dynamite?,time machine,3,microwave,exercise machine,time machine,clothes dryer
Gorillaz debut single was named after this popular Hollywood actor.,Clint Eastwood,3,Sean Connery,Harrison Ford,Clint Eastwood,Kevin Costner
In 1853 the Crimean War began.  Which country was not part of the coalition against Russia?,Austria,3,France,United Kingdom,Austria,Kingdom of Piedmont
What is the nickname of the leader of the kidnappers in the 2004 action thriller movie Man on Fire?,The Voice,2,El Padre,The Voice,El Caliente,The Fingers
This person worked in a patent office while in graduate school and is the co-holder of patent # 1781541 for a refrigerator.,Albert Einstein,1,Albert Einstein,Franz Kafka,Vince McMahn,Herbert Hoover
"Finish the verse from Janet Jacksons song Doesnt Really Matter: Doesnt really matter what the eyes see, cuz ...",...Im in love with the inner being,1,...Im in love with the inner being,...you bring out all the best of me,... true beauty starts from within,...all we need is the melody
What acting advice did director Martin Scorsese give to Paul Newman for the 1986 movie The Color of Money?,Try not to be funny.,3,Dont you ever look into the camera!,Bring out your husky voice and the world is yours.,Try not to be funny.,Speak as if you are really drowsy.
Night Fever was one of many #1 U.S. hits for this band in the 70s.,The Bee Gees,1,The Bee Gees,Tavares,Hall  Oates,KC  the Sunshine Band
Which of the following city states was not on the territory of present-day Greece?,Troy,2,Sparta,Troy,Athens,Argos
"After World War II, this country was split into two states which were not reunited until 1990.",Germany,4,France,Spain,Austria,Germany
"His 1976 album, Songs in the Key of Life, won a Grammy for best album of the year.",Stevie Wonder,1,Stevie Wonder,Billy Preston,George Benson,Marvin Gaye
"Is it true that Buddy Holly, Ritchie Valens, and The Big Bopper were all married at the time of their deaths?",No,1,No,Yes,N/A,N/A
"Name the American rock band from San Francisco, co-founded by folk musician Paul Kantner in 1965.",Jefferson Airplane,3,Grateful Dead,Eagle,Jefferson Airplane,Creedence Clearwater Revival
"In The Perfect Storm, what is the name of The Andrea Gails sister boat, captained by Linda Greenlaw, played by actress Mary Elizabeth Mastrantonio?",The Hannah Boden,3,The Cecile,The Big Red,The Hannah Boden,The Gloucester Girl
What was the name of the town featured in the movie Blazing Saddles?,Rock Ridge,3,Brick Ville,Rock Ville,Rock Ridge,Stone Ridge
"In 1972, he had a #3 hit with (If Loving You Is Wrong) I Dont Want To Be Right. The next year he didnt do as well with Ill be Your Shelter (In Time Of Storm).",Luther Ingram,2,King Floyd,Luther Ingram,Bobby Womack,Dr. John
"What was the language of the Inca Empire, used by the Catholic Church to preach to Indians in the Andes area?",Quechua,3,Sepik-Ramu,Mairasi,Quechua,Amto-Musan
What weapon does Puss in Boots always carry around in the Shrek movies?,Sword,2,Knife,Sword,Revolver,Whip
"One of the most accomplished ballistics engineers, Gerald Bull, was head of project HARP. The Pentagon and the Canadian Department of National Defence joined efforts in this project, trying to study ballistics of re-entry vehicles at low cost. They used 16 inch (406 mm) 50 caliber gun, which was later extended to 100 calibers (40 m), to fire shells toward the Atlantic at 3600 m/s. Do you know what HARP stood for?",High Altitude Research Project,4,Hazard Assessment of Rocket Propellants,Helping to Attract and Recruit Project,Highly Autonomous Roving Projectile,High Altitude Research Project
"The Disney Channel movie Princess Protection Program premiered in the US on July 27, 2009.",False,1,False,True,N/A,N/A
This H Band had a # 1 hit in 1977 with Rich Girl.,Hall and Oates,3,Herb Alpert and The Tijuana Brass,The Human League,Hall and Oates,The Hollies
"What weapon does Judy Hollidays character, Doris Attinger, use to wound her adulterous husband in the 1949 romantic comedy Adams Rib?",Gun,1,Gun,Axe,Knife,Nail file
"What Broadway star appearing in Sondheims Company also played a character on the TV sitcom, Alice?",Beth Howland (Alice character Vera),1,Beth Howland (Alice character Vera),Linda Lavin (Alice character Alice),Polly Holliday (Alice character Flo),Vic Tayback (Alice character Mel)
"Cat Stevens wrote a new musical arrangement for the hymn, Morning Has Broken. Who wrote the lyrics?",Eleanor Farjeon,2,Billy Graham,Eleanor Farjeon,Jean Roussel,Isaac Watts
This great singer and actress who lived from 1896-1977 was the first African-American to star on a national radio show. She was sometimes called Sweet Mama Stringbean.,Ethel Waters,2,Abbey Lincoln,Ethel Waters,Sarah Vaughan,Billie Holiday
"When 90s alternative rockers, Weezer, were interviewing new band members, the first audition consisted of a trivia quiz on what subject?",Star Trek,3,Computer Programing,Quantum Physics,Star Trek,Monty Python
Who was Led Zeppelins rather unscrupulous road manager?,Richard Cole,2,Don Arden,Richard Cole,Mick Hinton,Peter Grant
In 1965 this American singer and actress won her first Tony for her work on Flora the Red Menace. Her Oscar came in 1972 for Cabaret.,Liza Minelli,3,Judy Garland,Rita Moreno,Liza Minelli,Madelyn Kahn
The national motto of the Republic of the Fiji Islands is Rerevaka na Kalou ka Doka na Tui. What does this mean?,Fear God and honor the Queen,1,Fear God and honor the Queen,God bless our beautiful motherland,"We kneel before you, blessed land",Hard work comes before prosperity
Prince claimed he wrote the 1991 song Cream while he was standing in front of this object.,Mirror,2,Madonna poster,Mirror,Refrigerator,Christmas tree
What year did Franklin D. Roosevelt and Adolph Hitler come to power?,1933,1,1933,1932,1938,1930
"Who portrayed Elaine Robinson, the woman Benjamin truly loved in the movie The Graduate?",Katherine Ross,4,Tina Louise,Paula Prentiss,Nanette Newman,Katherine Ross
Ozzy is depicted as an angel,No More Tears,4,Speak of the Devil,Tribute,none of these,No More Tears
Which of the following actresses portrayed the American Presidents daughter in the 2004 movie First Daughter?,Katie Holmes,2,Amerie,Katie Holmes,Natalie Portman,Scarlett Johansson
This singer had a big hit song in 1995 with Kiss from a Rose.,Seal,1,Seal,Steal,Sele,Veal
"Hitler promoted General Friedrich Paulus in February 1943, in an attempt to lift his spirits. What was his promotion?",Field Marshal,3,Senior Marshal,Senior Field Marshal,Field Marshal,Marshal
What celebrated film director worked on the 1977 romantic comedy movie Annie Hall?,Woody Allen,4,Tim Burton,Martin Scorsese,Oliver Stone,Woody Allen
Who composed and sang the 1989 song Bad Love?,Eric Clapton,2,Billy Idol,Eric Clapton,Heart,Micheal Jackson
The Peace Treaty between Jordan and Israel was signed near Eilat. In what year did this happen?,"October, 1994",4,"October, 2004","October,1968","October, 1975","October, 1994"
"Who wrote  Where Never Lark or Eagle Flew, based on an inspiring poem written by an American pilot in World War II?",James Curnow,3,Jaime Texidor,Robert Smith,James Curnow,Clare Grundman
"What river flows through the central part of the French capital, Paris?",Seine,1,Seine,Loire,Charente,Rhine
"On July 30, 1865 along the beaches of California, off Crescent City, a summer storm developed and this ship came across a submerged pinnacle known as The Dragons Teeth.",Brother Jonathan,4,Titanic,Saratoga,Queen Mary,Brother Jonathan
What did Charlies grandpa do when the little boy showed him the golden ticked he found in the candy bar in the 2005 movie Charlie and the Chocolate Factory?,He started dancing.,1,He started dancing.,He stared crying.,He tossed his wig.,He fainted.
"The first photograph is considered to be an image produced by the French inventor Nicéphore Niépce, in what year?",1826,4,1865,1546,1837,1826
William Friedkin vehemently opposed the casting of Gene Hackman in The French Connection. Which of these actors were NOT considered to play Popeye Doyle?,Lee Marvin,2,Jackie Gleason,Lee Marvin,Steve McQueen,Paul Newman
"Sir Arthur Conan Doyle was born in this year, on May 22.",1859,1,1859,1861,1863,1865
"His first film role was The Kentuckian. His Broadway appearance in Neil Simons Odd Couple launched his career, but many remember him as one of the Grumpy Old Men. Who was this great actor?",Walter Mattheau,4,Jack Lemmon,Burgess Meredith,Ozzie Davis,Walter Mattheau
"According to the ending credits of the movie Animal House, Boon and Katy got married in 1964 and divorced in what year?",1969,4,1967,1965,1971,1969
The song You Should Be Dancing was a big hit song for this group in 1976.,The Bee Gees,3,Wild Cherry,The Trampps,The Bee Gees,The Steve Miller Band
Al n Yetta watched an operetta. Who told them what they saw?,Leonard Bernstein,4,Arturo Toscanini,Carol Burnett,Jimmy Durante,Leonard Bernstein
"Omega Red, a foe of the X-Men, serves which country?",Russia,2,Germany,Russia,The United States,Japan
Does Rosie make a boat for Carter and her father in the movie Princess Protection Program?,No,2,Yes,No,N/A,N/A
"This director/writer/producer/actress was married to writer Dan Greenburgand and journalist Carl Bernstein. In 1987 she married her third husband, Nicholas Pileggi.",Nora Ephron,4,Lee Grant,Melanie Mayron,Betty Kaplan,Nora Ephron
What type of character does Beyonce play in the 2001 movie Carmen: A Hip Hopera?,Aspiring actress,3,Aspiring singer,Model,Aspiring actress,Waitress
"What British band was formed in Paisley, Scotland, in 1972 by Joe Egan and Gerry Rafferty?",Stealers Wheel,4,Wings,Fleetwood Mac,Smashing Pumpkins,Stealers Wheel
"How many of the Top 10 American films of all time (as chosen by the American Film Institute), did NOT win an Oscar for Best Picture?",Four,4,None. They all won the Best Picture Award.,All 10,Five,Four
"In what country was the boy band Five, or 5ive, formed in 1997?",United Kingdom,1,United Kingdom,United States,Australia,Germany
What is Mel Brooks birth name?,Melvin Kaminsky,3,Melvin Brockman,Melcohm Krakouschy,Melvin Kaminsky,Melcohm Brooks
Everyone who tries to be a rock drummer attempts to learn Wipe Out by the Surfaris. Who was their  drummer?,Ron Wilson,2,Al Jackson,Ron Wilson,Jon Fishman,Jim Keltner
The song One is on what album by U2?,"Achtung, Baby",4,Zooropa,Rattle and Hum,The Joshua Three,"Achtung, Baby"
"Which 1970 book includes advice on such topics as growing marijuana, starting a pirate radio station and stealing food?",Steal This Book,4,To Sail Beyond the Sunset,Stranger in a Strange Land,The Cat Who Walks Through Walls,Steal This Book
McFadden  Whitehead wrote the popular song Aint No Stopping Us Now.,True,1,True,False,N/A,N/A
Woodstock 1969 was the first concert of its kind to feature multiple rock music groups.,False,2,True,False,N/A,N/A
"This actress was originally cast as Cady in Mean Girls, but the producers decided that she was a better fit for the character of queen bee Regina George.",Rachel McAdams,2,Jessica Alba,Rachel McAdams,Jessica Biel,Kiera Knightley
Dennis Yost was the lead singer for which of these groups?,The Classics Four,1,The Classics Four,The Jive Five,The Four Preps,The Five Stairsteps
What musical instrument did Richard Gere study when he was a student?,Trumpet,2,Organ,Trumpet,Violin,Guitar
"Charles X Gustav (Karl X Gustaf) was a descendant of the House of Palatinate-Zweibrücken. On July 10, 1655, he left Sweden to engage in the Second  Northern War (1655-1660) which started with the occupation of Dünaburg by the Swedes on July 1, 1655. Eventually his armies occupied most of this European country.",Poland,4,Prussia,Lithuania,Russia,Poland
"This artist had a #4 smash in 1979 with Chuck E.s In love. Her follow up, Young Blood snuck into the top 40 (at #40) for a single week.",Rickie Lee Jones,3,Brenda K. Starr,Billie Joe  McAllister,Rickie Lee Jones,Emmylou Harris
Mike Nichols won an Academy Award for Best Director for the movie The Graduate.,True,2,False,True,N/A,N/A
The Twilight Tower of Terror is a free fall thrill ride located in Hollywood Studios.  It is based on a television show from the 1950s.  What was the name of that show?,The Twilight Zone,4,Tales From the Crypt,The Alfred Hitchcock Show,Goosebumps,The Twilight Zone
"The first volume of this novel was published on September 30, 1868.",Little Women,2,The Pickwick Papers,Little Women,The Hunchback of Notre-Dame,Three Men in a Boat
"Everyone in the town of Rock Ridge, featured in Blazing Saddles, had the same surname. What was it ?",Johnson,1,Johnson,Smith,Peters,Taylor
"Rapper Snoop Dogg discovered Bow Wow, gave him his nickname and granted him a place in what record company?",Death Row Records,4,Thump Records,No Limit Records,Atlanta Records,Death Row Records
Musician Tito Puente was also an award-winning dancer.,True,1,True,False,N/A,N/A
"J.J. Cale wrote Cocaine, which Eric Clapton made a hit.  Which song, made famous by Lynyrd Skynyrd was also written by J.J. Cale?",They Call Me the Breeze,3,Free Bird,The Ballad of Curtis Lowe,They Call Me the Breeze,Gimme Three Steps
Homer set his epics in the last phase of the Bronze Age in ancient Greece. What is this phase called?,Mycenaean Greece,3,Archaic Greece,Hellenistic Greece,Mycenaean Greece,Classical Greece
When was Elvis Presley officially discharged from military service?,1960,1,1960,1963,1961,1962
Who was Olive Oyls niece?,Diesel Oyl,4,Vega Oyl,Kamon Oyl,Sutra Oyl,Diesel Oyl
The 1994 album Cracked Rear View was this bands debut album.,Hootie and the Blowfish,4,Black Crowes,Fine Young Cannibals,Blues Traveler,Hootie and the Blowfish
"When Kate and Norbit get married in the movie Norbit, they exchange what kind of rings?",Candy Rings,3,Superbowl Rings,Earrings,Candy Rings,Diamond Rings
